timestamp,meter_id,demand_kw,temperature_f
2025-06-01 00:15:00,B001,47.05,54.7
2025-06-01 00:30:00,B001,62.28,54.5
2025-06-01 00:45:00,B001,51.26,54.3
2025-06-01 01:00:00,B001,49.07,54.2
2025-06-01 01:15:00,B001,49.68,54.2
2025-06-01 01:30:00,B001,56.76,54.3
2025-06-01 01:45:00,B001,55.42,54.4
2025-06-01 02:00:00,B001,55.8,54.5
2025-06-01 02:15:00,B001,55.95,54.8
2025-06-01 02:30:00,B001,69.63,55.1
2025-06-01 02:45:00,B001,49.25,55.4
2025-06-01 03:00:00,B001,48.4,55.9
2025-06-01 03:15:00,B001,45.99,56.3
2025-06-01 03:30:00,B001,57.43,56.9
2025-06-01 03:45:00,B001,61.53,57.4
2025-06-01 04:00:00,B001,51.59,58.1
2025-06-01 04:15:00,B001,45.78,58.8
2025-06-01 04:30:00,B001,45.9,59.5
2025-06-01 04:45:00,B001,57.7,60.2
2025-06-01 05:00:00,B001,58.45,61.0
2025-06-01 05:15:00,B001,56.85,61.9
2025-06-01 05:30:00,B001,47.18,62.8
2025-06-01 05:45:00,B001,54.36,63.7
2025-06-01 06:00:00,B001,53.43,64.6
2025-06-01 06:15:00,B001,54.25,65.5
2025-06-01 06:30:00,B001,59.47,66.5
2025-06-01 06:45:00,B001,54.29,67.5
2025-06-01 07:00:00,B001,57.93,68.4
2025-06-01 07:15:00,B001,53.04,69.4
2025-06-01 07:30:00,B001,54.81,70.4
2025-06-01 07:45:00,B001,57.55,71.4
2025-06-01 08:00:00,B001,40.84,72.3
2025-06-01 08:15:00,B001,49.94,73.3
2025-06-01 08:30:00,B001,48.74,74.2
2025-06-01 08:45:00,B001,48.23,75.1
2025-06-01 09:00:00,B001,56.47,76.0
2025-06-01 09:15:00,B001,75.79,76.9
2025-06-01 09:30:00,B001,61.86,77.7
2025-06-01 09:45:00,B001,81.28,78.5
2025-06-01 10:00:00,B001,64.57,79.3
2025-06-01 10:15:00,B001,79.6,80.0
2025-06-01 10:30:00,B001,87.55,80.6
2025-06-01 10:45:00,B001,94.62,81.2
2025-06-01 11:00:00,B001,98.98,81.8
2025-06-01 11:15:00,B001,102.68,82.3
2025-06-01 11:30:00,B001,96.26,82.8
2025-06-01 11:45:00,B001,97.71,83.2
2025-06-01 12:00:00,B001,110.27,83.5
2025-06-01 12:15:00,B001,103.51,83.8
2025-06-01 12:30:00,B001,96.1,84.0
2025-06-01 12:45:00,B001,98.12,84.1
2025-06-01 13:00:00,B001,100.33,84.2
2025-06-01 13:15:00,B001,111.78,84.2
2025-06-01 13:30:00,B001,108.68,84.2
2025-06-01 13:45:00,B001,112.41,84.1
2025-06-01 14:00:00,B001,102.43,83.9
2025-06-01 14:15:00,B001,105.7,83.7
2025-06-01 14:30:00,B001,107.66,83.4
2025-06-01 14:45:00,B001,98.03,83.0
2025-06-01 15:00:00,B001,101.66,82.6
2025-06-01 15:15:00,B001,89.86,82.1
2025-06-01 15:30:00,B001,89.08,81.6
2025-06-01 15:45:00,B001,85.44,81.0
2025-06-01 16:00:00,B001,75.13,80.4
2025-06-01 16:15:00,B001,84.51,79.7
2025-06-01 16:30:00,B001,72.51,79.0
2025-06-01 16:45:00,B001,71.76,78.2
2025-06-01 17:00:00,B001,70.68,77.4
2025-06-01 17:15:00,B001,65.36,76.5
2025-06-01 17:30:00,B001,61.88,75.7
2025-06-01 17:45:00,B001,51.71,74.8
2025-06-01 18:00:00,B001,49.11,73.9
2025-06-01 18:15:00,B001,51.86,72.9
2025-06-01 18:30:00,B001,39.0,72.0
2025-06-01 18:45:00,B001,40.92,71.0
2025-06-01 19:00:00,B001,41.92,70.0
2025-06-01 19:15:00,B001,44.52,69.0
2025-06-01 19:30:00,B001,55.7,68.0
2025-06-01 19:45:00,B001,45.26,67.1
2025-06-01 20:00:00,B001,49.47,66.1
2025-06-01 20:15:00,B001,62.89,65.1
