pattern_id,pattern_type,description,frequency,dates,representative_peak_time,statistical_support
Portfolio_peak_timing_000,recurring_peak_timing,Daily peak recurs near 00:00 on 37 of 721 complete days,37,"[datetime.date(2024, 8, 10), datetime.date(2024, 8, 11), datetime.date(2024, 8, 31), datetime.date(2024, 9, 7), datetime.date(2024, 9, 22), datetime.date(2024, 9, 28), datetime.date(2024, 10, 13), datetime.date(2024, 11, 23), datetime.date(2024, 11, 28), datetime.date(2025, 2, 2), datetime.date(2025, 2, 15), datetime.date(2025, 2, 22), datetime.date(2025, 3, 8), datetime.date(2025, 4, 12), datetime.date(2025, 4, 20), datetime.date(2025, 5, 3), datetime.date(2025, 6, 7), datetime.date(2025, 6, 14), datetime.date(2025, 7, 2), datetime.date(2025, 7, 3), datetime.date(2025, 7, 4), datetime.date(2025, 7, 19), datetime.date(2025, 8, 2), datetime.date(2025, 8, 3), datetime.date(2025, 9, 13), datetime.date(2025, 10, 11), datetime.date(2025, 11, 1), datetime.date(2025, 12, 13), datetime.date(2025, 12, 23), datetime.date(2026, 1, 17), datetime.date(2026, 1, 24), datetime.date(2026, 1, 31), datetime.date(2026, 2, 14), datetime.date(2026, 2, 28), datetime.date(2026, 3, 14), datetime.date(2026, 3, 28), datetime.date(2026, 6, 13)]",00:00,0.051
Portfolio_peak_timing_001,recurring_peak_timing,Daily peak recurs near 00:30 on 28 of 721 complete days,28,"[datetime.date(2024, 9, 2), datetime.date(2024, 10, 14), datetime.date(2024, 10, 27), datetime.date(2024, 11, 27), datetime.date(2024, 12, 24), datetime.date(2025, 1, 18), datetime.date(2025, 3, 2), datetime.date(2025, 3, 9), datetime.date(2025, 4, 5), datetime.date(2025, 5, 9), datetime.date(2025, 5, 17), datetime.date(2025, 5, 28), datetime.date(2025, 6, 16), datetime.date(2025, 6, 27), datetime.date(2025, 8, 1), datetime.date(2025, 8, 21), datetime.date(2025, 9, 20), datetime.date(2025, 9, 27), datetime.date(2025, 11, 22), datetime.date(2025, 11, 26), datetime.date(2025, 12, 20), datetime.date(2025, 12, 24), datetime.date(2025, 12, 29), datetime.date(2025, 12, 31), datetime.date(2026, 1, 1), datetime.date(2026, 1, 3), datetime.date(2026, 1, 25), datetime.date(2026, 4, 5)]",00:30,0.039
Portfolio_peak_timing_002,recurring_peak_timing,Daily peak recurs near 01:00 on 10 of 721 complete days,10,"[datetime.date(2024, 12, 14), datetime.date(2024, 12, 27), datetime.date(2025, 1, 4), datetime.date(2025, 1, 11), datetime.date(2025, 6, 13), datetime.date(2025, 6, 24), datetime.date(2025, 7, 21), datetime.date(2025, 8, 13), datetime.date(2025, 11, 27), datetime.date(2026, 1, 28)]",01:00,0.014
Portfolio_peak_timing_003,recurring_peak_timing,Daily peak recurs near 01:30 on 5 of 721 complete days,5,"[datetime.date(2024, 9, 14), datetime.date(2024, 9, 29), datetime.date(2024, 12, 28), datetime.date(2025, 6, 19), datetime.date(2026, 7, 23)]",01:30,0.007
Portfolio_peak_timing_004,recurring_peak_timing,Daily peak recurs near 02:00 on 5 of 721 complete days,5,"[datetime.date(2025, 1, 12), datetime.date(2025, 5, 21), datetime.date(2025, 10, 12), datetime.date(2025, 12, 7), datetime.date(2026, 1, 18)]",02:00,0.007
Portfolio_peak_timing_006,recurring_peak_timing,Daily peak recurs near 03:00 on 3 of 721 complete days,3,"[datetime.date(2025, 3, 30), datetime.date(2025, 4, 13), datetime.date(2026, 3, 15)]",03:00,0.004
Portfolio_peak_timing_010,recurring_peak_timing,Daily peak recurs near 05:00 on 6 of 721 complete days,6,"[datetime.date(2024, 10, 5), datetime.date(2024, 11, 2), datetime.date(2024, 11, 3), datetime.date(2024, 11, 10), datetime.date(2024, 12, 29), datetime.date(2025, 8, 17)]",05:00,0.008
Portfolio_peak_timing_011,recurring_peak_timing,Daily peak recurs near 05:30 on 5 of 721 complete days,5,"[datetime.date(2024, 12, 25), datetime.date(2024, 12, 31), datetime.date(2025, 8, 16), datetime.date(2026, 4, 19), datetime.date(2026, 7, 25)]",05:30,0.007
Portfolio_peak_timing_012,recurring_peak_timing,Daily peak recurs near 06:00 on 3 of 721 complete days,3,"[datetime.date(2024, 12, 8), datetime.date(2024, 12, 17), datetime.date(2026, 7, 4)]",06:00,0.004
Portfolio_peak_timing_013,recurring_peak_timing,Daily peak recurs near 06:30 on 5 of 721 complete days,5,"[datetime.date(2024, 10, 26), datetime.date(2025, 3, 16), datetime.date(2025, 5, 10), datetime.date(2025, 11, 28), datetime.date(2025, 12, 28)]",06:30,0.007
