event_id,entity_id,peak_definition,start_time,end_time,duration_hours,maximum_demand_kw,mean_demand_kw,minimum_demand_kw,n_intervals
Portfolio_threshold_500_0000,Portfolio,threshold_500,2025-06-02 01:15:00,2025-06-02 02:45:00,1.5,548.3299999999999,524.0885714285714,504.56,7
Portfolio_threshold_500_0001,Portfolio,threshold_500,2025-06-02 07:45:00,2025-06-02 18:30:00,10.75,827.23,641.8134090909091,481.89,44
Portfolio_threshold_500_0002,Portfolio,threshold_500,2025-06-03 01:15:00,2025-06-03 03:30:00,2.25,536.95,509.267,496.18,10
Portfolio_threshold_500_0003,Portfolio,threshold_500,2025-06-03 07:30:00,2025-06-03 18:15:00,10.75,882.19,692.3556818181819,500.01,44
Portfolio_threshold_500_0004,Portfolio,threshold_500,2025-06-04 00:45:00,2025-06-04 03:00:00,2.25,525.37,512.508,494.77,10
Portfolio_threshold_500_0005,Portfolio,threshold_500,2025-06-04 07:45:00,2025-06-04 18:15:00,10.5,889.3800000000001,704.5805813953488,553.4200000000001,43
Portfolio_threshold_500_0006,Portfolio,threshold_500,2025-06-05 01:30:00,2025-06-05 03:15:00,1.75,530.3,511.52375,491.53000000000003,8
Portfolio_threshold_500_0007,Portfolio,threshold_500,2025-06-05 07:30:00,2025-06-05 09:30:00,2.0,728.5999999999999,625.0555555555555,509.75,9
Portfolio_threshold_500_0008,Portfolio,threshold_500,2025-06-05 10:30:00,2025-06-05 18:30:00,8.0,823.47,636.5533333333334,501.48,33
Portfolio_threshold_500_0009,Portfolio,threshold_500,2025-06-06 01:15:00,2025-06-06 02:15:00,1.0,532.1700000000001,523.988,514.89,5
Portfolio_threshold_500_0010,Portfolio,threshold_500,2025-06-06 03:00:00,2025-06-06 03:00:00,0.0,512.1800000000001,512.1800000000001,512.1800000000001,1
Portfolio_threshold_500_0011,Portfolio,threshold_500,2025-06-06 07:30:00,2025-06-06 09:30:00,2.0,717.75,619.8499999999999,502.41999999999996,9
Portfolio_threshold_500_0012,Portfolio,threshold_500,2025-06-06 10:30:00,2025-06-06 13:45:00,3.25,717.3700000000001,640.7996825396825,520.73,14
Portfolio_threshold_500_0013,Portfolio,threshold_500,2025-06-09 01:00:00,2025-06-09 02:30:00,1.5,531.87,512.15,494.77,7
Portfolio_threshold_500_0014,Portfolio,threshold_500,2025-06-09 07:30:00,2025-06-09 18:15:00,10.75,831.01,665.2436363636363,503.45,44
Portfolio_threshold_500_0015,Portfolio,threshold_500,2025-06-10 00:30:00,2025-06-10 00:30:00,0.0,502.08000000000004,502.08000000000004,502.08000000000004,1
Portfolio_threshold_500_0016,Portfolio,threshold_500,2025-06-10 01:15:00,2025-06-10 03:00:00,1.75,530.76,513.16125,500.18,8
Portfolio_threshold_500_0017,Portfolio,threshold_500,2025-06-10 07:30:00,2025-06-10 09:30:00,2.0,746.83,628.5244444444445,515.9300000000001,9
Portfolio_threshold_500_0018,Portfolio,threshold_500,2025-06-10 10:15:00,2025-06-10 18:15:00,8.0,829.8000000000001,658.3827272727272,506.69,33
Portfolio_threshold_500_0019,Portfolio,threshold_500,2025-06-11 00:00:00,2025-06-11 23:45:00,23.75,1264.79,968.2728125,819.06,96
Portfolio_threshold_500_0020,Portfolio,threshold_500,2025-06-12 01:00:00,2025-06-12 03:00:00,2.0,538.9100000000001,514.9555555555555,505.11,9
Portfolio_threshold_500_0021,Portfolio,threshold_500,2025-06-12 07:45:00,2025-06-12 18:15:00,10.5,874.18,697.7979069767442,542.81,43
Portfolio_threshold_500_0022,Portfolio,threshold_500,2025-06-13 01:30:00,2025-06-13 02:45:00,1.25,532.15,516.4083333333334,498.88,6
Portfolio_threshold_500_0023,Portfolio,threshold_500,2025-06-13 07:30:00,2025-06-13 18:15:00,10.75,850.3199999999999,668.6677272727273,517.71,44
Portfolio_threshold_500_0024,Portfolio,threshold_500,2025-06-16 01:00:00,2025-06-16 03:00:00,2.0,518.03,510.4100000000001,499.98,9
Portfolio_threshold_500_0025,Portfolio,threshold_500,2025-06-16 07:45:00,2025-06-16 09:30:00,1.75,737.3,637.44875,531.89,8
Portfolio_threshold_500_0026,Portfolio,threshold_500,2025-06-16 10:30:00,2025-06-16 18:30:00,8.0,812.73,657.8212121212122,514.52,33
Portfolio_threshold_500_0027,Portfolio,threshold_500,2025-06-17 01:00:00,2025-06-17 03:00:00,2.0,522.4300000000001,512.13,503.16,9
Portfolio_threshold_500_0028,Portfolio,threshold_500,2025-06-17 07:45:00,2025-06-17 18:15:00,10.5,842.89,682.6213953488373,510.71000000000004,43
Portfolio_threshold_500_0029,Portfolio,threshold_500,2025-06-18 01:00:00,2025-06-18 03:00:00,2.0,535.3,516.9833333333332,479.26,9
Portfolio_threshold_500_0030,Portfolio,threshold_500,2025-06-18 07:45:00,2025-06-18 09:45:00,2.0,731.22,625.6833333333333,502.91999999999996,9
Portfolio_threshold_500_0031,Portfolio,threshold_500,2025-06-18 10:45:00,2025-06-18 18:15:00,7.5,832.03,665.204193548387,538.55,31
Portfolio_threshold_500_0032,Portfolio,threshold_500,2025-06-19 01:00:00,2025-06-19 02:45:00,1.75,547.05,519.83375,502.11,8
Portfolio_threshold_500_0033,Portfolio,threshold_500,2025-06-19 07:45:00,2025-06-19 18:15:00,10.5,879.21,699.5981395348837,543.37,43
